uniqueID,Booking_Date,Gross_Amount
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-09-03,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-09-10,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-09-17,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-09-24,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-10-01,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-10-08,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-10-15,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-10-22,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-10-29,59.0625
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-11-05,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-11-12,7.875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-11-19,70.875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-11-26,15.75
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-12-03,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-12-10,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-12-17,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-12-24,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-01-07,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-01-14,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-01-21,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-01-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-02-04,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-02-11,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-02-18,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-02-25,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-01-08,60.637499999999996
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-01-15,51.975
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-01-22,17.325
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-01-29,77.96249999999999
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-02-05,95.2875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-02-12,25.9875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-02-19,8.6625
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-02-26,138.6
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-03-05,25.9875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-03-12,51.975
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-03-19,34.65
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-03-26,168.7875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-04-02,7.35
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-04-09,36.75
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-04-16,57.75
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-04-23,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-04-30,98.175
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-05-07,44.099999999999994
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-05-14,36.75
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-05-21,55.125
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-05-28,62.474999999999994
