uniqueID,Booking_Date,predicted
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-10-31,3238.9791381288583
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-11-30,3373.58038250555
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-12-31,4406.258478036661
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2025-01-31,3676.4331823531065
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2025-02-28,3811.0344267297983
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-03-31,294.2226113863735
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-04-30,253.18763825961653
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-05-31,269.01834861563225
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-06-30,358.53487220768744
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-07-31,304.6374469166677
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-08-31,320.46815727268347
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-09-30,422.84713302900144
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-10-31,356.08725557371895
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-11-30,371.91796592973463
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-12-31,487.1593938503155
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2025-01-31,407.5370642307701
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2025-02-28,423.3677745867858
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-03-31,335.9631064686883
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-04-30,283.672035103322
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-05-31,296.91785726187436
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-06-30,389.77425898780723
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-07-31,326.7209571186172
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-08-31,339.9667792771695
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-09-30,443.5854115069261
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-10-31,369.7698791339123
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-11-30,383.01570129246466
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-12-31,497.3965640260451
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2025-01-31,412.81880114920745
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2025-02-28,426.0646233077598
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-03-31,3738.9811540347946
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-04-30,2881.326064549148
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-05-31,2783.673745723648
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-06-30,3342.268608806201
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-07-31,2563.956028366273
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-08-31,2466.3037095407735
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-09-30,2945.5560635776073
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-10-31,2246.585992183398
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-11-30,2148.9336733578984
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-12-31,2548.8435183490137
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2025-01-31,1929.2159560005234
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2025-02-28,1831.5636371750234
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-03-31,1896.3419113946225
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-04-30,1671.162857972976
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-05-31,1808.1311502905567
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-06-30,2452.7755989347934
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-07-31,2116.3098080051127
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-08-31,2253.2781003226937
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-09-30,3009.2092864749643
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-10-31,2561.4567580372495
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-11-30,2698.42505035483
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-12-31,3565.642974015135
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2025-01-31,3006.603708069386
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2025-02-28,3143.5720003869665
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-03-31,112.17732362542914
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-04-30,85.13730707091534
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-05-31,81.04437211142383
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-06-30,95.54977535249483
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-07-31,71.8352684525679
