uniqueID,Booking_Date,Gross_Amount
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-01-31,3858.75
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-02-28,5944.3125
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-03-31,5178.074999999999
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-04-30,4721.325
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-05-31,4224.675
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-06-30,4282.530000000001
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-07-31,3522.96
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-08-31,3351.6
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-09-30,3195.1499999999996
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-10-31,3959.8125
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-11-30,3997.35
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2023-12-31,2273.25
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-01-31,4326.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__croissant,2024-02-29,3935.4
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-03-31,144.375
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-04-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-05-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-06-30,144.375
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-08-31,150.9375
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-09-30,723.03
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-10-31,1254.75
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-11-30,789.6
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2023-12-31,1184.4
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-01-31,1731.4499999999998
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__danish,2024-02-29,1131.375
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-02-28,131.25
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-03-31,131.25
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-04-30,131.25
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-05-31,260.4
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-06-30,130.2
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-07-31,130.2
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-08-31,130.2
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-09-30,260.4
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-10-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2023-12-31,130.2
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-01-31,130.2
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__flour,2024-02-29,130.2
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-01-31,514.5525
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-02-28,171.5175
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-03-31,171.5175
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-04-30,514.5525
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-05-31,171.5175
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-06-30,514.5525
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-08-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-09-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-10-31,171.5175
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2023-12-31,171.5175
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__muffin,2024-02-29,143.325
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-04-30,241.5
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-05-31,333.9
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-06-30,483.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-07-31,110.25
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-08-31,372.75
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-09-30,351.75
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-10-31,226.8
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2023-12-31,226.8
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-01-31,113.4
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__paratha,2024-02-29,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-02-28,185.85
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-03-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-04-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-05-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-06-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-08-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-09-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-10-31,157.5
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-11-30,422.1
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2023-12-31,472.5
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-01-31,472.5
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__tart shell,2024-02-29,315.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-03-31,1764.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-04-30,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-05-31,0.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-06-30,267.75
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-07-31,806.4
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-08-31,393.75
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-09-30,601.65
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-10-31,393.75
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-11-30,315.0
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2023-12-31,393.75
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-01-31,393.75
ADAGIO__F&B Kitchen__LS - Consumables__garbage bag,2024-02-29,0.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-01-31,378.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-02-28,474.6
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-03-31,243.6
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-04-30,0.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-05-31,0.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-06-30,0.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-07-31,0.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-08-31,504.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-09-30,199.5
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-10-31,299.25
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-11-30,378.0
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2023-12-31,178.5
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-01-31,267.75
ADAGIO__F&B Kitchen__LS - Consumables__gloves,2024-02-29,357.0
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-01-31,1596.0
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-02-28,1197.0
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-03-31,3192.0
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-04-30,0.0
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-05-31,0.0
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-06-30,1506.75
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-07-31,1722.0
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-08-31,1291.5
ADAGIO__F&B Kitchen__LS - Consumables__paper towel,2023-09-30,1592.85
